iter	Passed	Remaining
0	183	183625
1	195	97570
2	208	69150
3	220	54898
4	231	46118
5	245	40619
6	256	36388
7	268	33282
8	279	30799
9	292	28927
10	304	27351
11	315	25984
12	327	24827
13	338	23859
14	351	23070
15	363	22344
16	375	21712
17	389	21244
18	405	20953
19	418	20512
20	431	20098
21	443	19706
22	455	19342
23	468	19052
24	480	18727
25	492	18438
26	504	18176
27	516	17915
28	528	17697
29	541	17493
30	553	17316
31	566	17126
32	578	16953
33	591	16796
34	603	16634
35	615	16486
36	628	16347
37	640	16212
38	652	16081
39	665	15961
40	677	15842
41	689	15722
42	703	15661
43	715	15552
44	727	15448
45	740	15349
46	752	15256
47	765	15177
48	777	15094
49	790	15016
50	803	14950
51	817	14910
52	828	14810
53	840	14718
54	850	14615
55	861	14527
56	873	14457
57	883	14350
58	895	14282
59	906	14203
60	916	14112
61	928	14048
62	939	13975
63	950	13896
64	960	13813
65	971	13747
66	982	13685
67	992	13608
68	1003	13545
69	1014	13473
70	1024	13408
71	1035	13342
72	1045	13274
73	1056	13215
74	1067	13162
75	1076	13091
76	1087	13034
77	1097	12972
78	1107	12911
79	1119	12876
80	1132	12844
81	1144	12813
82	1169	12924
83	1180	12873
84	1190	12814
85	1201	12768
86	1213	12731
87	1224	12691
88	1234	12640
89	1244	12580
90	1254	12532
91	1266	12499
92	1276	12452
93	1287	12405
94	1299	12377
95	1309	12328
96	1319	12284
97	1330	12244
98	1340	12202
99	1351	12167
100	1361	12122
101	1372	12081
102	1384	12056
103	1394	12015
104	1405	11983
105	1418	11961
106	1428	11920
107	1438	11880
108	1449	11845
109	1459	11810
110	1470	11776
111	1480	11738
112	1491	11708
113	1501	11670
114	1512	11642
115	1523	11606
116	1534	11582
117	1545	11549
118	1555	11512
119	1565	11482
120	1576	11452
121	1586	11418
122	1597	11391
123	1608	11365
124	1620	11344
125	1631	11319
126	1643	11296
127	1654	11270
128	1665	11248
129	1677	11225
130	1686	11188
131	1696	11155
132	1705	11120
133	1716	11094
134	1726	11065
135	1738	11042
136	1748	11015
137	1761	11000
138	1772	10978
139	1781	10945
140	1791	10917
141	1802	10890
142	1812	10864
143	1823	10841
144	1834	10815
145	1846	10801
146	1858	10782
147	1868	10757
148	1878	10731
149	1890	10712
150	1900	10685
151	1912	10668
152	1924	10652
153	1941	10666
154	1951	10640
155	1962	10618
156	1973	10597
157	1984	10574
158	1994	10549
159	2007	10537
160	2016	10509
161	2026	10482
162	2036	10456
163	2046	10434
164	2057	10413
165	2068	10391
166	2078	10369
167	2089	10346
168	2101	10331
169	2111	10308
170	2121	10286
171	2132	10263
172	2142	10239
173	2153	10224
174	2164	10205
175	2174	10182
176	2185	10163
177	2196	10141
178	2206	10120
179	2217	10100
180	2226	10076
181	2237	10058
182	2247	10035
183	2258	10014
184	2268	9995
185	2279	9976
186	2290	9957
187	2301	9941
188	2312	9924
189	2322	9902
190	2334	9887
191	2344	9864
192	2354	9843
193	2364	9824
194	2375	9806
195	2386	9787
196	2399	9779
197	2409	9758
198	2421	9746
199	2433	9732
200	2443	9711
201	2453	9694
202	2465	9679
203	2476	9661
204	2486	9643
205	2497	9628
206	2508	9609
207	2518	9590
208	2528	9571
209	2539	9553
210	2550	9537
211	2561	9519
212	2571	9500
213	2581	9483
214	2601	9499
215	2616	9498
216	2626	9477
217	2637	9459
218	2648	9443
219	2659	9427
220	2669	9409
221	2680	9394
222	2691	9377
223	2701	9359
224	2712	9343
225	2723	9328
226	2735	9314
227	2747	9301
228	2758	9286
229	2770	9274
230	2781	9259
231	2794	9249
232	2805	9236
233	2818	9225
234	2828	9208
235	2840	9195
236	2851	9179
237	2862	9164
238	2873	9149
239	2883	9131
240	2894	9114
241	2905	9102
242	2916	9085
243	2927	9069
244	2940	9062
245	2951	9046
246	2962	9030
247	2973	9015
248	2984	9000
249	2995	8987
250	3007	8975
251	3017	8957
252	3029	8945
253	3041	8931
254	3051	8915
255	3061	8898
256	3073	8884
257	3084	8871
258	3094	8853
259	3105	8839
260	3116	8824
261	3127	8808
262	3139	8796
263	3149	8780
264	3159	8763
265	3171	8750
266	3182	8737
267	3195	8726
268	3205	8712
269	3216	8696
270	3227	8682
271	3238	8666
272	3249	8653
273	3259	8637
274	3271	8624
275	3281	8607
276	3291	8592
277	3303	8578
278	3314	8564
279	3324	8549
280	3336	8536
281	3348	8526
282	3358	8509
283	3369	8495
284	3381	8482
285	3391	8467
286	3402	8451
287	3412	8436
288	3423	8421
289	3434	8408
290	3444	8392
291	3457	8383
292	3468	8369
293	3480	8356
294	3490	8342
295	3502	8330
296	3513	8315
297	3525	8305
298	3537	8294
299	3550	8284
300	3562	8273
301	3574	8261
302	3585	8248
303	3599	8241
304	3609	8225
305	3619	8209
306	3629	8192
307	3639	8176
308	3648	8159
309	3658	8142
310	3668	8127
311	3677	8110
312	3687	8092
313	3697	8077
314	3707	8062
315	3717	8047
316	3726	8030
317	3737	8015
318	3747	8000
319	3756	7983
320	3766	7968
321	3776	7951
322	3785	7935
323	3796	7920
324	3805	7904
325	3816	7890
326	3826	7875
327	3835	7858
328	3846	7844
329	3855	7828
330	3865	7812
331	3875	7797
332	3884	7780
333	3894	7765
334	3903	7749
335	3913	7734
336	3923	7718
337	3932	7702
338	3942	7688
339	3952	7671
340	3963	7658
341	3973	7644
342	3982	7628
343	3994	7616
344	4004	7601
345	4014	7587
346	4024	7573
347	4035	7560
348	4055	7564
349	4064	7548
350	4075	7536
351	4085	7520
352	4095	7506
353	4104	7490
354	4114	7475
355	4125	7463
356	4135	7448
357	4145	7434
358	4157	7422
359	4167	7408
360	4177	7394
361	4187	7379
362	4196	7364
363	4207	7350
364	4216	7335
365	4227	7322
366	4236	7307
367	4246	7292
368	4256	7278
369	4265	7263
370	4275	7249
371	4285	7234
372	4296	7222
373	4306	7208
374	4316	7193
375	4327	7182
376	4338	7168
377	4347	7153
378	4358	7142
379	4369	7128
380	4379	7114
381	4389	7101
382	4398	7086
383	4408	7071
384	4418	7058
385	4428	7043
386	4438	7029
387	4447	7015
388	4457	7001
389	4467	6988
390	4478	6974
391	4487	6960
392	4497	6946
393	4507	6932
394	4517	6918
395	4527	6905
396	4536	6891
397	4546	6877
398	4556	6863
399	4566	6849
400	4575	6834
401	4585	6821
402	4594	6806
403	4604	6793
404	4615	6780
405	4624	6766
406	4634	6752
407	4644	6738
408	4654	6725
409	4664	6711
410	4673	6698
411	4684	6684
412	4693	6670
413	4703	6657
414	4712	6643
415	4723	6630
416	4733	6617
417	4742	6603
418	4753	6590
419	4765	6580
420	4776	6568
421	4786	6555
422	4795	6541
423	4804	6527
424	4815	6514
425	4824	6500
426	4834	6487
427	4843	6473
428	4853	6460
429	4863	6447
430	4873	6433
431	4884	6422
432	4894	6408
433	4903	6394
434	4913	6382
435	4923	6368
436	4933	6355
437	4942	6341
438	4952	6328
439	4962	6316
440	4971	6302
441	4983	6291
442	4993	6278
443	5003	6265
444	5013	6252
445	5022	6238
446	5032	6226
447	5043	6214
448	5054	6202
449	5064	6190
450	5074	6177
451	5083	6163
452	5093	6150
453	5103	6137
454	5114	6126
455	5124	6112
456	5133	6099
457	5143	6087
458	5153	6074
459	5163	6061
460	5177	6053
461	5186	6040
462	5196	6027
463	5206	6014
464	5215	6000
